id,country,property_type,furnishing_status,property_size_sqft,price,constructed_year,previous_owners,rooms,bathrooms,garage,garden,crime_cases_reported,legal_cases_on_property,customer_salary,loan_amount,loan_tenure_years,monthly_expenses,down_payment,emi_to_income_ratio,satisfaction_score,neighbourhood_rating,connectivity_score,label
1,South Africa,Apartment,Semi-Furnished,1244,224538,1990,4,8,8,1,1,1,1,16970,181465,20,8605,43073,0.08,9,1,2,0
2,South Africa,Farmhouse,Semi-Furnished,4152,745104,2019,5,2,1,1,1,0,0,21914,307953,30,2510,437151,0.09,6,8,1,0
3,Germany,Farmhouse,Semi-Furnished,3714,1110959,2008,1,3,3,0,1,0,0,17980,674720,15,8805,436239,0.33,2,6,6,0
4,South Africa,Townhouse,Fully-Furnished,531,99041,2007,6,3,3,1,1,3,1,17676,65833,25,8965,33208,0.03,3,3,4,0
5,Canada,Villa,Semi-Furnished,3169,1107368,1985,0,5,2,1,0,0,0,95520,793316,30,10615,314052,0.05,10,8,2,1
6,Brazil,Studio,Unfurnished,1986,398439,1976,1,2,1,1,0,0,0,11426,268167,25,14440,130272,0.16,9,10,10,1
7,Brazil,Townhouse,Semi-Furnished,4048,807236,2020,4,6,6,1,1,1,0,29832,503385,20,7200,303851,0.13,1,5,8,0
8,UAE,Farmhouse,Semi-Furnished,5213,3131373,1968,6,2,1,0,0,0,0,56255,1866416,15,10300,1264957,0.29,8,8,10,1
9,Australia,Apartment,Unfurnished,4648,1483250,1966,2,5,2,0,1,0,1,67350,1093290,10,16360,389960,0.18,1,4,7,0
10,Germany,Townhouse,Fully-Furnished,5265,1578906,2005,4,2,2,0,1,2,0,64480,671215,30,8785,907691,0.07,3,7,2,0
11,South Africa,Villa,Unfurnished,2002,360608,2004,6,7,2,0,1,6,0,12178,150994,10,15245,209614,0.14,6,9,1,0
12,UK,Studio,Unfurnished,4514,1806300,2003,6,3,1,1,0,0,1,83470,939041,20,3990,867259,0.08,1,2,7,0
13,UK,Independent House,Fully-Furnished,5519,2209937,2019,1,8,6,0,1,1,1,78045,960016,15,9880,1249921,0.11,4,4,3,0
14,USA,Townhouse,Unfurnished,3770,1889678,2017,0,2,1,0,1,1,0,82500,1352109,30,6400,537569,0.1,7,7,5,1
15,China,Independent House,Unfurnished,5597,2121884,1965,1,5,5,1,0,0,0,32910,1801788,20,19035,320096,0.41,9,10,5,0
16,USA,Farmhouse,Semi-Furnished,5975,2984423,1974,2,8,8,0,0,1,0,53130,2489069,15,11005,495354,0.41,3,7,6,0
17,Singapore,Studio,Fully-Furnished,4175,2926456,2008,1,2,1,0,1,2,0,73930,1250966,20,4275,1675490,0.13,2,8,9,0
18,India,Studio,Semi-Furnished,3504,528252,1983,5,5,1,1,0,0,0,13513,405880,15,1926,122372,0.26,5,9,3,0
19,UK,Townhouse,Unfurnished,4718,1891634,2012,3,8,5,1,1,2,1,83240,1377666,15,9505,513968,0.14,8,7,6,0
20,UK,Farmhouse,Unfurnished,3552,1424120,1962,0,5,2,1,0,3,1,84790,918084,30,4960,506036,0.07,10,9,9,0
21,Japan,Studio,Semi-Furnished,3154,1423466,1997,6,1,1,1,1,0,0,37705,928240,30,3590,495226,0.16,1,4,5,0
22,UK,Villa,Unfurnished,5929,2367224,2017,6,5,3,1,0,2,0,64355,1471184,10,11750,896040,0.26,3,7,1,0
23,India,Townhouse,Unfurnished,3457,522982,2011,3,1,1,0,0,1,0,18603,386182,30,1747,136800,0.13,3,9,8,0
24,Singapore,Townhouse,Semi-Furnished,3492,2446173,1982,0,8,1,1,0,0,0,99460,1086669,30,15915,1359504,0.07,7,5,5,1
25,Germany,Villa,Unfurnished,5631,1687549,1996,0,6,1,0,0,0,1,64905,769646,15,10925,917903,0.1,7,8,1,0
26,Australia,Apartment,Semi-Furnished,2843,910130,1977,5,7,4,1,0,1,0,29505,380772,15,12530,529358,0.11,6,10,6,0
27,Canada,Apartment,Semi-Furnished,3094,1078050,1994,6,1,1,1,1,1,0,62025,603655,10,8270,474395,0.11,4,10,8,0
28,UAE,Farmhouse,Unfurnished,4152,2488048,1973,2,2,1,0,1,2,0,68595,1332965,20,10545,1155083,0.14,4,3,3,0
29,China,Studio,Fully-Furnished,883,338311,1983,6,8,1,0,0,1,1,33255,213100,10,4970,125211,0.07,2,7,10,0
30,USA,Apartment,Unfurnished,1412,702803,1961,5,1,1,0,1,4,0,91680,510843,15,5470,191960,0.05,1,2,3,0
31,China,Apartment,Semi-Furnished,5157,1964472,1979,3,4,1,0,0,2,1,56345,1059369,15,13930,905103,0.16,3,9,3,0
32,Japan,Townhouse,Fully-Furnished,4530,2042444,1976,4,4,1,1,0,1,0,17015,929248,25,10120,1113196,0.37,1,10,6,0
33,China,Farmhouse,Semi-Furnished,2003,759283,1989,0,1,1,0,0,1,0,58960,332969,30,18435,426314,0.04,6,1,10,0
34,China,Farmhouse,Fully-Furnished,5715,2175355,2004,4,8,1,0,1,2,0,53095,1676896,10,16620,498459,0.36,1,1,2,0
35,Japan,Villa,Semi-Furnished,3711,1671717,2020,6,2,2,0,0,1,0,41095,721498,25,15800,950219,0.12,2,3,8,0
