id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,label
1,2,0,2,3,Not Selected,0,Room_Type 1,5,2018,11,6,Online,0,0,0,106.68,1,0
2,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Online,0,0,0,60,0,1
3,2,0,0,2,Meal Plan 1,0,Room_Type 1,211,2018,5,20,Online,0,0,0,100,0,1
4,2,0,1,1,Not Selected,0,Room_Type 1,48,2018,4,11,Online,0,0,0,94.5,0,1
5,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Online,0,0,0,115,1,1
6,2,0,1,3,Meal Plan 1,0,Room_Type 1,34,2017,10,15,Online,0,0,0,107.55,1,0
7,2,0,1,3,Meal Plan 1,0,Room_Type 4,83,2018,12,26,Online,0,0,0,105.61,1,0
8,1,0,1,0,Not Selected,0,Room_Type 1,0,2018,9,11,Online,0,0,0,85.03,0,0
9,2,0,2,1,Not Selected,0,Room_Type 1,30,2018,11,26,Online,0,0,0,88,0,1
10,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,2018,11,20,Online,0,0,0,90,2,1
11,2,0,0,2,Meal Plan 1,0,Room_Type 1,47,2017,10,20,Online,0,0,0,94.5,2,0
12,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65,0,1
13,2,0,1,0,Meal Plan 1,0,Room_Type 1,12,2017,10,4,Offline,0,0,0,72,0,0
14,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65,0,1
15,1,0,0,1,Meal Plan 1,0,Room_Type 1,122,2018,11,25,Corporate,0,0,0,67,0,0
16,2,0,2,4,Meal Plan 1,0,Room_Type 1,2,2018,3,20,Offline,0,0,0,85,0,0
17,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105,0,0
18,2,0,2,1,Not Selected,0,Room_Type 1,130,2018,5,22,Online,0,0,0,94.5,1,0
19,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,2017,9,21,Offline,0,0,0,65,0,0
20,1,0,0,2,Meal Plan 1,0,Room_Type 4,2,2018,5,19,Aviation,0,0,0,110,0,1
21,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,2017,9,17,Offline,0,0,0,82,0,0
22,0,2,0,3,Meal Plan 1,0,Room_Type 2,56,2018,12,7,Online,0,0,0,82.44,1,0
23,2,0,0,1,Not Selected,0,Room_Type 1,2,2018,1,9,Online,0,0,0,69.5,1,0
24,2,0,0,2,Meal Plan 1,0,Room_Type 1,72,2018,10,7,Offline,0,0,0,85.5,0,0
25,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,2017,10,17,Offline,0,0,0,67,0,0
26,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,2018,11,1,Online,0,0,0,93.6,2,0
27,2,0,0,2,Meal Plan 1,0,Room_Type 1,35,2018,6,21,Online,0,0,0,102,1,0
28,3,0,2,1,Meal Plan 1,0,Room_Type 1,96,2018,4,10,Online,0,0,0,121.8,1,0
29,2,0,1,1,Not Selected,0,Room_Type 1,41,2018,6,27,Online,0,0,0,98.1,1,1
30,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,2017,11,18,Offline,0,0,0,60,1,0
31,2,0,0,3,Meal Plan 1,0,Room_Type 1,146,2017,12,29,Offline,0,0,0,75,0,0
32,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73,0,0
33,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104,0,0
34,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,2018,12,29,Online,0,0,0,125.8,2,0
35,1,0,2,5,Not Selected,0,Room_Type 1,124,2018,5,30,Online,0,0,0,87.95,0,0
